Province;Commune;Nom_Etab;Categorie
Agadir Ida Ou Tanan;Agadir;N.Talborjt;CSU
Agadir Ida Ou Tanan;Agadir;Ihchach;CSU
Agadir Ida Ou Tanan;Agadir;Bouargane;CSU
Agadir Ida Ou Tanan;Agadir;Q.Industriel;CSU
Agadir Ida Ou Tanan;Agadir;Amsernate;CSU
Agadir Ida Ou Tanan;Agadir;El Qods;CSU
Agadir Ida Ou Tanan;Agadir;Essalam;CSU
Agadir Ida Ou Tanan;Agadir;C.Diagnostic Tuberculose;CDTMR
Agadir Ida Ou Tanan;Agadir;Centre De Reference;CRPF
Agadir Ida Ou Tanan;Agadir;Laboratoire Epidemiologique;LEHM
Agadir Ida Ou Tanan;Agadir;Bensergaou;CSUA
Agadir Ida Ou Tanan;Agadir;Taddarte;CSU
Agadir Ida Ou Tanan;Agadir;Anza ÿÿÿÿÿÿÿÿ;CSUA
Agadir Ida Ou Tanan;Agadir;Tikiouine ÿÿÿÿ;CSUA
Agadir Ida Ou Tanan;Amskroud;Amskroud;CSCA
Agadir Ida Ou Tanan;Amskroud;Sidi Boushab;DR
Agadir Ida Ou Tanan;Amskroud;Tamait Oufella;DR
Agadir Ida Ou Tanan;Idmine;Assaka Idmine;DR
Agadir Ida Ou Tanan;Idmine;Ikhrdidene;DR
Agadir Ida Ou Tanan;Drargua;Drarga;CSC
Agadir Ida Ou Tanan;Drargua;Tamait Izdar;DR
Agadir Ida Ou Tanan;Drargua;Azrarag;DR
Agadir Ida Ou Tanan;Aziar;Aziar;DR
Agadir Ida Ou Tanan;Imouzzer;Immouzzer;CSCA
Agadir Ida Ou Tanan;Imouzzer;Imesker;DR
Agadir Ida Ou Tanan;Tadrart;Tadrarte;CSC
Agadir Ida Ou Tanan;Tiqqi;Isk Ntiki;CSC
Agadir Ida Ou Tanan;Aourir;Tamraghte;CSCA
Agadir Ida Ou Tanan;Taghazout;Taghazout;DR
Agadir Ida Ou Tanan;Aqesri;Aqesri;DR
Agadir Ida Ou Tanan;Imsouane;Assaka;CSC
Agadir Ida Ou Tanan;Imsouane;Imsouane;DR
Agadir Ida Ou Tanan;Imsouane;Sidi Belkacem;DR
Agadir Ida Ou Tanan;Tamri;Tamri;CSCA
Agadir Ida Ou Tanan;Tamri;Ighallene;DR
Agadir Ida Ou Tanan;Agadir;Centre Oncologie;HSR
Al Haouz;Ait Ourir;Ait Ourir;CSUA
Al Haouz;Ait Sidi Daoud;Boukhoubza;CSCA
Al Haouz;Ait Faska;Ait Faska;CSC
Al Haouz;Tighedouine;Tighedouine;CSCA
Al Haouz;Tighedouine;Zat;DR
Al Haouz;Tighedouine;Tamaroute;DR
Al Haouz;Tighedouine;Ait Aacha;DR
Al Haouz;Tighedouine;Toulouzine;DR
Al Haouz;Tidili Mesfioua;Tidili Mesfioua;CSC
Al Haouz;Tidili Mesfioua;Toukhribine;DR
Al Haouz;Sidi Abdallah Ghiat;S.Abdellah Ghiat;CSC
Al Haouz;Tamazouzte;Tamazouzt;CSC
Al Haouz;Iguerferouane;Ait Ouanga;CSC
Al Haouz;Iguerferouane;Asaka;DR
Al Haouz;Ghmate;Ghmate;CSCA
Al Haouz;Ait Aadel;Ait Aadel;CSC
Al Haouz;Ait Aadel;Ait Rbaa;DR
Al Haouz;Ait Hkim Ait Yzid;Ait Hkim-Ait Izid;CSC
Al Haouz;Abadou;Abadou;CSCA
Al Haouz;Abadou;Sahrij;DR
Al Haouz;Tazart;Tazart;CSC
Al Haouz;Tazart;Anzal;DR
Al Haouz;Tazart;Ihrissane;DR
Al Haouz;Tazart;Tizal Ait Abdellah;DR
Al Haouz;Tamaguert;Taguert;CSC
Al Haouz;Tamaguert;Agoujgal;DR
Al Haouz;Touama;Touama;CSCA
Al Haouz;Touama;Ait Ouahlili;DR
Al Haouz;Zerkten;Tazlida (Zerkten);CSC
Al Haouz;Zerkten;Izagzaouen (Ighi);DR
Al Haouz;Zerkten;Taddarte;DR
Al Haouz;Zerkten;Idgh;DR
Al Haouz;Asni;Asni;CSCA
Al Haouz;Asni;Imlil;DR
Al Haouz;Asni;Sidi Fars;DR
Al Haouz;Ighil;Ighil;CSC
Al Haouz;Aghbar;Aghbar;CSC
Al Haouz;Talat N'yaaqoub;Tlat N'yaaqoub;CSCA
Al Haouz;Talat N'yaaqoub;Mouldikht;DR
Al Haouz;Ijoukak;Ijoukak;CSC
Al Haouz;Imgdal;Imegdal;CSC
Al Haouz;Imgdal;Tizimlil;DR
