Province;Commune;Nom_Etab;Categorie
Ben Slimane;Ben Slimane;Hassan II;HGP 
Berrechid;Berrechid;Errazi;HSR
Berrechid;Berrechid;Berrchid;HGP
Khouribga;Khouribga;Hassan II;HGP 
Khouribga;Oued.Zem;Oued.Zem;HL
Khouribga;Bejaad;Bejaad;HL
Settat;Settat;Hassan II;HGR
Settat;Ben Ahmed ;Ben Ahmed ;HL
El Jadida;El Jadida;Mohamed V;HGP 
El Jadida;Sidi Ali Ben Hamdouch;Sidi Layachi;HSP 
El Jadida;Azemmour;Azemmour;HL
Safi;Safi;Mohamed V;HGR
Sidi Bennour;Sidi Bennour;Sidi Bennour;HGP
Sidi Bennour;Khmiss Zemamra;Zemamra;HL
Youssoufia;Youssoufia;Lalla Hasna;HL
Kenitra;Kenitra;Al Idrissi;HGR
Kenitra;Souk Larbaa;Zoubir Skirej (Souk Larbaa);HL
Ouezzane;Ouazzane;Abou  Kacem Zahraoui;HGP
Sidi Kacem;Sidi Kacem;Sidi Kacem;HGP 
Sidi Slimane;Sidi Slimane;Sidi Slimane;HGP
Boulemane;Missour;Marche Verte;HGP
Boulemane;Outate El Haj;Outate El Haj;HL
Fes;Fes;Ibn Al Baitar;HGR
Fes;Fes;Omar Drissi;HSU
Fes;Fes;Ibn Al Hassan;HSU
Fes;Fes;H“pital des Sp‚cialit‚s;HSU
Fes;Fes;H“pital  MŠre-Enfant;HSU
Fes ;Fes;Al Ghassani;HGR
Fes ;Fes;Ibn Al Khatib;HGR
Sefrou;Sefrou;Mohamed V;HGP 
Ain Chock;Ain Chock;Sekkat (Salam);HGP 
Ain Chock;Ain Chock;Centre de L‚prologie;HSP
Ain Sbaa-Hay M.;Hay Mohammadi;Mohamed V;HGP 
Al fida-Derb Sultan;Al fida;Med Bouafi;HGP 
Ben Msick;Ben Msick;Ben M'sick;HGP
Casablanca-Anfa;El Maarif;Ibn Rochd;HGU
Casablanca-Anfa;My Youssef;My Youssef;HGR
Casablanca-Anfa;El Maarif;20 Aout 1953;HSU
Casablanca-Anfa;El Maarif;H“pital d'enfants;HSU
Hay Hassani;Hay El Hassani;Al Hassani;HGP
M‚diouna;M‚diouna;Tit Mellil;HSP
Mohammedia;Mohammedia;My Abdellah;HGP 
My Rachid Sidi Othmane; Sidi Othmane; Sidi Othmane;HGP
Nouaceur;Dar Bouazza;Prince My Hassan;HGP
Sidi Bernoussi;Sidi Bernoussi;Al Mansour;HGP 
Assa-Zag;Assa-Zag;Assa;HGP
Es-semara;Es-semara;Es-smara;HGP 
Guelmim;Guelmim;Guelmim;HGP
Guelmim;Bouizakaren;Bouizakaren;HL
Tan-Tan;Tan-Tan;Hassan II;HGP
Tata;Tata;Tata;HGP
Boujdour;Boujdour;Boujdour;HGP
Laayoune;Laayoune;My Hassan Ben El Mehdi;HGR
Laayoune;Laayoune;Hassan II;HSR
Al Haouz;Tahannaout;Mohamed VI;HGP
Chichaoua;Chichaoua;Mohamed VI;HGP
El kelaa Sraghna;El kelaa Sraghna;Assalama;HGP
El kelaa Sraghna;Tamellalt;Princesse Lalla Khadija;HL
Essaouira;Essaouira;Sidi  Med Ben Abdellah;HGP 
Marrakech;Marrakech;Ibn Zohr;HGR
Marrakech;Marrakech;Er Razi;HSU
Marrakech;Marrakech;Ibn Tofeil;HSU
Marrakech;Marrakech;Ibn Nafis;HSU
Marrakech;Marrakech;El Antaki;HSR
Marrakech;Marrakech;MŠre-Enfant;HSU
Rehamna;Benguerir ;Benguerir;HGP
El Hajeb;El Hajeb;Prince My El Hassan;HGP
Errachidia;Errachidia;My Ali Cherif;HGP
Errachidia;Arfoud;Sghiri Hoummi Ben Maati;HL
Errachidia;Goulmima;20 Aout;HL
Ifrane;Azrou;20 Aout (Azrou) ;HGP 
Ifrane;Azrou;Ahadaf;HL
Khenifra;Khenifra;Khenifra;HGP
Meknes;Meknes ;Sidi Said;HGR
Meknes;Meknes ;Pagnon;HSR
Meknes ;Meknes ;Mohamed V;HGR
Midelt;Midelt;Midelt;HGP
Errachidia;Errachidia;Houmane El Fatouaki;HSP
MeknŠs;Meknes ;Moulay Ismail;HSR
Berkane;Berkane;Edderak;HGP
Figuig;Bouarfa;Hassan II;HGP 
Jrada;Jrada;Jrada;HGP
Nador;Nador;Hassani;HGP 
Nador;El Arouit;Mohammed VI;HL
Oujda-Angad;Oujda;Al Farabi;HGR
Oujda-Angad;Oujda;Hassan II (Mzouaria);HSR
Oujda-Angad;Oujda;Errazi;HSR
Taourirt;Taourirt;Taourirt;HGP
Oued Eddahab;Dakhla;Hassan II;HGP
Khemisset;Khemisset;Khemisset;HGP
Khemisset;Roummani;Roummani;HL
Khemisset;Tiflet;Tiflet;HL
Rabat;Rabat;Ibn Sina;HGU
Rabat;Rabat;H“pital de Rabat;HGP
Rabat;Rabat;My Youssef;HSU
Rabat;Rabat;Maternit‚  Orangers;HSU
Rabat;Rabat;Maternit‚  Souissi;HSU
Rabat;Rabat;H“pital d'enfants;HSU
Rabat;Rabat;H“pital des Sp‚cialit‚s;HSU
Settat;Settat;;HSP 
Rabat;Rabat;Med Ben Abdellah;HSU
Sal‚ ;Sal‚ ;Moulay Abdellah;HGP
Sal‚ ;Sal‚ ;Errazi;HSU
Sal‚ ;Sal‚ ;El Ayachi;HSU
Skhirat-Temara;Temara;Sidi Lahcen;HGP
Agadir-Ida Outanane;Agadir;Hassan II;HGR 
Chtouka Ait Baha;Biougra;Mokhtar Soussi;HGP
Inezgane-Ait Melloul;Inezgane;Inezgane;HGP
Ouarzazate;Ouarzazate;Sidi Hssain Bencer;HGP 
Ouarzazate;Ouarzazate;Bougafer;HSP 
Taroudant;Taroudant;El Mokhtar Es-soussi;HGP
Taroudant;Ouled Teima;Ouled Teima;HL
Tinghir;Tinghir;Tinghir;HGP
Tiznit;Tiznit;Hassan 1er;HGP 
Tiznit;Tiznit;Houmman El Fatouaki;HSP
Tiznit;Sidi Ifni;Sidi Ifni;HL
Zagora;Zagora;Edderrak (Zagora);HGP
Azilal;Azilal;Haut Atlas Central;HGP
Beni Mellal;Beni Mellal;Beni Mellal;HGR
Beni Mellal;Kasbat Tadla;Moulay Ismail;HL 
Fkih Ben Saleh;Fquih Ben Salah;Fquih Ben Salah;HGP
Chefchaouen;Chefchaouen;Mohamed V;HGP 
Larache;Larache;Lalla Meriem;HGP 
Larache;Ksar  El Kebir;Ksar  El Kebir;HL
M'Diq-Fnideq;M'diq;Mohamed VI;HGP
M'Diq-Fnideq;Fnideq;Hassan II;HL
Tanger-Assilah;Tanger;Mohamed V;HGP
Tanger-Assilah;Tanger;Duc de Tovar;HSP
Tanger-Assilah;Assilah;Assilah;HL
